,train,val,test
0,Pancalyze_HE_2_H-7,Pancalyze_HE_4_B-7,Pancalyze_HE_7_E-10
1,Pancalyze_HE_2_H-8,Pancalyze_HE_4_B-8,Pancalyze_HE_2_C-3
2,Pancalyze_HE_2_H-11,Pancalyze_HE_7_D-3,Pancalyze_HE_2_C-4
3,Pancalyze_HE_2_H-12,Pancalyze_HE_7_D-4,Pancalyze_HE_9_F-11
4,Pancalyze_HE_3_A-1,Pancalyze_HE_5_H-3,Pancalyze_HE_5_E-9
5,Pancalyze_HE_3_A-2,Pancalyze_HE_5_H-4,Pancalyze_HE_5_E-10
6,Pancalyze_HE_3_A-7,Pancalyze_HE_1_G-7,Pancalyze_HE_6_A-7
7,Pancalyze_HE_3_A-8,Pancalyze_HE_1_G-8,Pancalyze_HE_6_A-8
8,Pancalyze_HE_3_A-9,Pancalyze_HE_5_B-11,Pancalyze_HE_3_B-3
9,Pancalyze_HE_3_A-10,Pancalyze_HE_8_A-7,Pancalyze_HE_3_B-4
10,Pancalyze_HE_3_B-7,Pancalyze_HE_8_A-8,Pancalyze_HE_5_C-1
11,Pancalyze_HE_3_B-8,Pancalyze_HE_3_G-11,Pancalyze_HE_5_C-2
12,Pancalyze_HE_3_C-5,Pancalyze_HE_3_G-12,Pancalyze_HE_9_F-3
13,Pancalyze_HE_3_C-6,Pancalyze_HE_5_D-1,Pancalyze_HE_9_F-4
14,Pancalyze_HE_3_C-11,Pancalyze_HE_5_D-2,Pancalyze_HE_2_H-9
15,Pancalyze_HE_3_C-12,Pancalyze_HE_5_D-3,Pancalyze_HE_2_H-10
16,Pancalyze_HE_3_D-9,Pancalyze_HE_5_D-4,Pancalyze_HE_5_B-1
17,Pancalyze_HE_3_D-10,Pancalyze_HE_4_H-9,Pancalyze_HE_5_B-2
18,Pancalyze_HE_3_E-5,Pancalyze_HE_4_H-10,Pancalyze_HE_9_C-5
19,Pancalyze_HE_3_E-6,Pancalyze_HE_3_F-1,Pancalyze_HE_9_C-6
20,Pancalyze_HE_3_E-7,Pancalyze_HE_3_F-2,Pancalyze_HE_6_B-7
21,Pancalyze_HE_3_E-8,Pancalyze_HE_2_A-5,Pancalyze_HE_6_B-8
22,Pancalyze_HE_3_E-11,Pancalyze_HE_2_A-6,Pancalyze_HE_2_E-11
23,Pancalyze_HE_3_E-12,Pancalyze_HE_5_H-2,Pancalyze_HE_2_E-12
24,Pancalyze_HE_3_F-7,Pancalyze_HE_2_F-1,Pancalyze_HE_2_E-1
25,Pancalyze_HE_3_F-8,Pancalyze_HE_2_F-2,Pancalyze_HE_2_E-2
26,Pancalyze_HE_3_G-5,Pancalyze_HE_6_D-5,Pancalyze_HE_9_G-11
27,Pancalyze_HE_3_G-6,Pancalyze_HE_6_D-6,Pancalyze_HE_9_G-12
28,Pancalyze_HE_3_G-9,Pancalyze_HE_3_C-1,Pancalyze_HE_9_D-9
29,Pancalyze_HE_3_G-10,Pancalyze_HE_3_C-2,Pancalyze_HE_9_D-10
30,Pancalyze_HE_3_H-1,Pancalyze_HE_5_C-11,Pancalyze_HE_5_F-5
31,Pancalyze_HE_3_H-2,Pancalyze_HE_5_C-12,Pancalyze_HE_5_F-6
32,Pancalyze_HE_3_H-9,Pancalyze_HE_8_E-1,Pancalyze_HE_8_A-9
33,Pancalyze_HE_3_H-10,Pancalyze_HE_8_E-2,Pancalyze_HE_8_A-10
34,Pancalyze_HE_4_A-7,Pancalyze_HE_6_G-9,Pancalyze_HE_2_H-5
35,Pancalyze_HE_4_A-8,Pancalyze_HE_6_G-10,Pancalyze_HE_2_H-6
36,Pancalyze_HE_4_A-9,Pancalyze_HE_5_E-3,Pancalyze_HE_9_E-11
37,Pancalyze_HE_4_A-10,Pancalyze_HE_5_E-4,Pancalyze_HE_9_E-12
38,Pancalyze_HE_4_A-11,Pancalyze_HE_3_H-3,Pancalyze_HE_2_G-7
39,Pancalyze_HE_4_A-12,Pancalyze_HE_3_H-4,Pancalyze_HE_2_G-8
40,Pancalyze_HE_4_B-1,Pancalyze_HE_4_G-11,Pancalyze_HE_8_D-1
41,Pancalyze_HE_4_B-2,Pancalyze_HE_4_G-12,Pancalyze_HE_8_D-2
42,Pancalyze_HE_4_B-11,Pancalyze_HE_8_D-7,Pancalyze_HE_9_E-7
43,Pancalyze_HE_4_B-12,Pancalyze_HE_8_D-8,Pancalyze_HE_9_E-8
44,Pancalyze_HE_6_A-3,Pancalyze_HE_9_C-9,Pancalyze_HE_9_C-1
45,Pancalyze_HE_6_A-4,Pancalyze_HE_9_C-10,Pancalyze_HE_9_C-2
46,Pancalyze_HE_6_A-5,Pancalyze_HE_9_D-7,Pancalyze_HE_4_D-1
47,Pancalyze_HE_6_A-6,Pancalyze_HE_9_D-8,Pancalyze_HE_4_D-2
48,Pancalyze_HE_6_B-5,Pancalyze_HE_9_A-9,Pancalyze_HE_1_G-3
49,Pancalyze_HE_6_B-6,Pancalyze_HE_9_A-10,Pancalyze_HE_1_G-4
50,Pancalyze_HE_6_B-9,Pancalyze_HE_9_A-11,
51,Pancalyze_HE_6_B-10,Pancalyze_HE_9_A-12,
52,Pancalyze_HE_6_B-11,Pancalyze_HE_4_E-7,
53,Pancalyze_HE_6_B-12,Pancalyze_HE_4_E-8,
54,Pancalyze_HE_6_C-1,,
55,Pancalyze_HE_6_C-2,,
56,Pancalyze_HE_6_C-5,,
57,Pancalyze_HE_6_C-6,,
58,Pancalyze_HE_6_C-7,,
59,Pancalyze_HE_6_C-8,,
60,Pancalyze_HE_6_C-9,,
61,Pancalyze_HE_6_C-10,,
62,Pancalyze_HE_6_E-7,,
63,Pancalyze_HE_6_E-8,,
64,Pancalyze_HE_6_E-9,,
65,Pancalyze_HE_6_E-10,,
66,Pancalyze_HE_6_E-11,,
67,Pancalyze_HE_6_E-12,,
68,Pancalyze_HE_6_F-3,,
69,Pancalyze_HE_6_F-4,,
70,Pancalyze_HE_6_F-9,,
71,Pancalyze_HE_6_F-10,,
72,Pancalyze_HE_6_H-1,,
73,Pancalyze_HE_6_H-2,,
74,Pancalyze_HE_6_H-4,,
75,Pancalyze_HE_7_A-1,,
76,Pancalyze_HE_7_A-2,,
