,train,val,test
0,Pancalyze_HE_2_H-7,Pancalyze_HE_7_F-4,Pancalyze_HE_1_B-1
1,Pancalyze_HE_2_H-8,Pancalyze_HE_2_B-9,Pancalyze_HE_1_B-2
2,Pancalyze_HE_2_H-9,Pancalyze_HE_2_B-10,Pancalyze_HE_5_C-11
3,Pancalyze_HE_2_H-10,Pancalyze_HE_9_D-12,Pancalyze_HE_5_C-12
4,Pancalyze_HE_3_A-1,Pancalyze_HE_5_H-3,Pancalyze_HE_2_G-11
5,Pancalyze_HE_3_A-2,Pancalyze_HE_5_H-4,Pancalyze_HE_2_G-12
6,Pancalyze_HE_3_A-7,Pancalyze_HE_4_G-5,Pancalyze_HE_8_G-2
7,Pancalyze_HE_3_A-8,Pancalyze_HE_4_G-6,Pancalyze_HE_7_B-3
8,Pancalyze_HE_3_A-9,Pancalyze_HE_3_D-9,Pancalyze_HE_7_B-4
9,Pancalyze_HE_3_A-10,Pancalyze_HE_3_D-10,Pancalyze_HE_6_C-7
10,Pancalyze_HE_3_B-3,Pancalyze_HE_1_H-11,Pancalyze_HE_6_C-8
11,Pancalyze_HE_3_B-4,Pancalyze_HE_1_H-12,Pancalyze_HE_4_E-1
12,Pancalyze_HE_3_B-7,Pancalyze_HE_4_F-9,Pancalyze_HE_4_E-2
13,Pancalyze_HE_3_B-8,Pancalyze_HE_4_F-10,Pancalyze_HE_2_H-11
14,Pancalyze_HE_3_C-5,Pancalyze_HE_3_F-7,Pancalyze_HE_2_H-12
15,Pancalyze_HE_3_C-6,Pancalyze_HE_3_F-8,Pancalyze_HE_6_B-9
16,Pancalyze_HE_3_C-11,Pancalyze_HE_3_C-1,Pancalyze_HE_6_B-10
17,Pancalyze_HE_3_C-12,Pancalyze_HE_3_C-2,Pancalyze_HE_8_A-1
18,Pancalyze_HE_3_E-5,Pancalyze_HE_5_C-1,Pancalyze_HE_8_A-2
19,Pancalyze_HE_3_E-6,Pancalyze_HE_5_C-2,Pancalyze_HE_8_A-3
20,Pancalyze_HE_3_E-7,Pancalyze_HE_4_B-7,Pancalyze_HE_8_A-4
21,Pancalyze_HE_3_E-8,Pancalyze_HE_4_B-8,Pancalyze_HE_5_E-5
22,Pancalyze_HE_3_E-11,Pancalyze_HE_4_D-5,Pancalyze_HE_5_E-6
23,Pancalyze_HE_3_E-12,Pancalyze_HE_4_D-6,Pancalyze_HE_1_H-5
24,Pancalyze_HE_3_F-1,Pancalyze_HE_6_F-3,Pancalyze_HE_1_H-6
25,Pancalyze_HE_3_F-2,Pancalyze_HE_6_F-4,Pancalyze_HE_5_B-9
26,Pancalyze_HE_3_G-5,Pancalyze_HE_4_H-5,Pancalyze_HE_5_B-10
27,Pancalyze_HE_3_G-6,Pancalyze_HE_4_H-6,Pancalyze_HE_8_F-7
28,Pancalyze_HE_3_G-9,Pancalyze_HE_2_H-1,Pancalyze_HE_8_F-8
29,Pancalyze_HE_3_G-10,Pancalyze_HE_2_H-2,Pancalyze_HE_9_C-3
30,Pancalyze_HE_3_G-11,Pancalyze_HE_9_A-9,Pancalyze_HE_9_C-4
31,Pancalyze_HE_3_G-12,Pancalyze_HE_9_A-10,Pancalyze_HE_5_G-3
32,Pancalyze_HE_3_H-1,Pancalyze_HE_9_A-11,Pancalyze_HE_5_G-4
33,Pancalyze_HE_3_H-2,Pancalyze_HE_9_A-12,Pancalyze_HE_3_H-5
34,Pancalyze_HE_3_H-9,Pancalyze_HE_5_B-7,Pancalyze_HE_3_H-6
35,Pancalyze_HE_3_H-10,Pancalyze_HE_5_B-8,Pancalyze_HE_2_A-1
36,Pancalyze_HE_4_A-7,Pancalyze_HE_9_C-11,Pancalyze_HE_2_A-2
37,Pancalyze_HE_4_A-8,Pancalyze_HE_9_C-12,Pancalyze_HE_9_G-1
38,Pancalyze_HE_4_A-9,Pancalyze_HE_5_A-5,Pancalyze_HE_9_G-2
39,Pancalyze_HE_4_A-10,Pancalyze_HE_5_A-6,Pancalyze_HE_2_D-3
40,Pancalyze_HE_4_A-11,Pancalyze_HE_5_H-5,Pancalyze_HE_2_D-4
41,Pancalyze_HE_4_A-12,Pancalyze_HE_5_H-6,Pancalyze_HE_1_A-11
42,Pancalyze_HE_4_B-1,Pancalyze_HE_5_H-7,Pancalyze_HE_1_A-12
43,Pancalyze_HE_4_B-2,Pancalyze_HE_5_H-8,Pancalyze_HE_4_C-5
44,Pancalyze_HE_4_B-11,Pancalyze_HE_2_E-7,Pancalyze_HE_4_C-6
45,Pancalyze_HE_4_B-12,Pancalyze_HE_2_E-8,Pancalyze_HE_4_B-5
46,Pancalyze_HE_6_A-3,Pancalyze_HE_4_F-7,Pancalyze_HE_4_B-6
47,Pancalyze_HE_6_A-4,Pancalyze_HE_4_F-8,Pancalyze_HE_6_A-11
48,Pancalyze_HE_6_A-5,Pancalyze_HE_1_C-7,Pancalyze_HE_6_A-12
49,Pancalyze_HE_6_A-6,Pancalyze_HE_1_C-8,Pancalyze_HE_6_F-5
50,Pancalyze_HE_6_A-7,Pancalyze_HE_6_E-3,Pancalyze_HE_6_F-6
51,Pancalyze_HE_6_A-8,Pancalyze_HE_6_E-4,Pancalyze_HE_3_A-11
52,Pancalyze_HE_6_B-5,Pancalyze_HE_1_D-11,Pancalyze_HE_3_A-12
53,Pancalyze_HE_6_B-6,Pancalyze_HE_1_D-12,
54,Pancalyze_HE_6_B-7,,
55,Pancalyze_HE_6_B-8,,
56,Pancalyze_HE_6_B-11,,
57,Pancalyze_HE_6_B-12,,
58,Pancalyze_HE_6_C-1,,
59,Pancalyze_HE_6_C-2,,
60,Pancalyze_HE_6_C-5,,
61,Pancalyze_HE_6_C-6,,
62,Pancalyze_HE_6_C-9,,
63,Pancalyze_HE_6_C-10,,
64,Pancalyze_HE_6_D-5,,
65,Pancalyze_HE_6_D-6,,
66,Pancalyze_HE_6_E-7,,
67,Pancalyze_HE_6_E-8,,
68,Pancalyze_HE_6_E-9,,
69,Pancalyze_HE_6_E-10,,
70,Pancalyze_HE_6_E-11,,
71,Pancalyze_HE_6_E-12,,
72,Pancalyze_HE_6_F-9,,
73,Pancalyze_HE_6_F-10,,
74,Pancalyze_HE_6_H-1,,
75,Pancalyze_HE_6_H-2,,
76,Pancalyze_HE_6_H-4,,
77,Pancalyze_HE_7_A-1,,
78,Pancalyze_HE_7_A-2,,
79,Pancalyze_HE_7_A-3,,
80,Pancalyze_HE_7_A-4,,
81,Pancalyze_HE_1_D-1,,
82,Pancalyze_HE_1_D-2,,
83,Pancalyze_HE_7_B-5,,
84,Pancalyze_HE_7_B-6,,
85,Pancalyze_HE_7_B-7,,
86,Pancalyze_HE_7_B-8,,
87,Pancalyze_HE_7_C-1,,
88,Pancalyze_HE_7_C-2,,
89,Pancalyze_HE_1_D-4,,
90,Pancalyze_HE_7_C-7,,
