,train,val,test
0,Pancalyze_HE_2_H-7,Pancalyze_HE_8_H-1,Pancalyze_HE_6_F-3
1,Pancalyze_HE_2_H-8,Pancalyze_HE_8_H-2,Pancalyze_HE_6_F-4
2,Pancalyze_HE_2_H-9,Pancalyze_HE_6_B-9,Pancalyze_HE_9_F-5
3,Pancalyze_HE_2_H-10,Pancalyze_HE_6_B-10,Pancalyze_HE_9_F-6
4,Pancalyze_HE_2_H-11,Pancalyze_HE_5_B-9,Pancalyze_HE_5_G-3
5,Pancalyze_HE_2_H-12,Pancalyze_HE_5_B-10,Pancalyze_HE_5_G-4
6,Pancalyze_HE_3_A-7,Pancalyze_HE_2_E-1,Pancalyze_HE_6_E-9
7,Pancalyze_HE_3_A-8,Pancalyze_HE_2_E-2,Pancalyze_HE_6_E-10
8,Pancalyze_HE_3_B-7,Pancalyze_HE_3_A-1,Pancalyze_HE_6_B-7
9,Pancalyze_HE_3_B-8,Pancalyze_HE_3_A-2,Pancalyze_HE_6_B-8
10,Pancalyze_HE_3_C-1,Pancalyze_HE_1_H-7,Pancalyze_HE_1_F-1
11,Pancalyze_HE_3_C-2,Pancalyze_HE_1_H-8,Pancalyze_HE_1_F-2
12,Pancalyze_HE_3_C-5,Pancalyze_HE_1_B-3,Pancalyze_HE_5_C-11
13,Pancalyze_HE_3_C-6,Pancalyze_HE_1_B-4,Pancalyze_HE_5_C-12
14,Pancalyze_HE_3_C-11,Pancalyze_HE_4_D-3,Pancalyze_HE_7_B-3
15,Pancalyze_HE_3_C-12,Pancalyze_HE_4_D-4,Pancalyze_HE_7_B-4
16,Pancalyze_HE_3_D-9,Pancalyze_HE_3_F-1,Pancalyze_HE_4_H-5
17,Pancalyze_HE_3_D-10,Pancalyze_HE_3_F-2,Pancalyze_HE_4_H-6
18,Pancalyze_HE_3_E-7,Pancalyze_HE_7_A-1,Pancalyze_HE_1_E-5
19,Pancalyze_HE_3_E-8,Pancalyze_HE_7_A-2,Pancalyze_HE_1_E-6
20,Pancalyze_HE_3_E-11,Pancalyze_HE_7_A-3,Pancalyze_HE_8_D-3
21,Pancalyze_HE_3_E-12,Pancalyze_HE_7_A-4,Pancalyze_HE_8_D-4
22,Pancalyze_HE_3_G-5,Pancalyze_HE_3_E-5,Pancalyze_HE_2_H-1
23,Pancalyze_HE_3_G-6,Pancalyze_HE_3_E-6,Pancalyze_HE_2_H-2
24,Pancalyze_HE_3_G-9,Pancalyze_HE_7_F-9,Pancalyze_HE_3_A-9
25,Pancalyze_HE_3_G-10,Pancalyze_HE_7_F-10,Pancalyze_HE_3_A-10
26,Pancalyze_HE_3_G-11,Pancalyze_HE_2_B-5,Pancalyze_HE_3_B-3
27,Pancalyze_HE_3_G-12,Pancalyze_HE_2_B-6,Pancalyze_HE_3_B-4
28,Pancalyze_HE_3_H-1,Pancalyze_HE_3_F-7,Pancalyze_HE_4_F-9
29,Pancalyze_HE_3_H-2,Pancalyze_HE_3_F-8,Pancalyze_HE_4_F-10
30,Pancalyze_HE_3_H-9,Pancalyze_HE_1_F-9,Pancalyze_HE_9_G-11
31,Pancalyze_HE_3_H-10,Pancalyze_HE_9_D-9,Pancalyze_HE_9_G-12
32,Pancalyze_HE_4_A-7,Pancalyze_HE_9_D-10,Pancalyze_HE_6_G-9
33,Pancalyze_HE_4_A-8,Pancalyze_HE_3_D-5,Pancalyze_HE_6_G-10
34,Pancalyze_HE_4_A-9,Pancalyze_HE_3_D-6,Pancalyze_HE_3_C-7
35,Pancalyze_HE_4_A-10,Pancalyze_HE_3_E-9,Pancalyze_HE_3_C-8
36,Pancalyze_HE_4_A-11,Pancalyze_HE_3_E-10,Pancalyze_HE_8_H-7
37,Pancalyze_HE_4_A-12,Pancalyze_HE_8_E-1,Pancalyze_HE_8_H-8
38,Pancalyze_HE_4_B-1,Pancalyze_HE_8_E-2,Pancalyze_HE_4_F-7
39,Pancalyze_HE_4_B-2,Pancalyze_HE_7_H-7,Pancalyze_HE_4_F-8
40,Pancalyze_HE_4_B-7,Pancalyze_HE_7_H-8,Pancalyze_HE_7_A-11
41,Pancalyze_HE_4_B-8,Pancalyze_HE_1_D-11,Pancalyze_HE_7_A-12
42,Pancalyze_HE_4_B-11,Pancalyze_HE_1_D-12,Pancalyze_HE_7_B-11
43,Pancalyze_HE_4_B-12,Pancalyze_HE_8_A-9,Pancalyze_HE_7_B-12
44,Pancalyze_HE_6_A-3,Pancalyze_HE_8_A-10,Pancalyze_HE_1_A-11
45,Pancalyze_HE_6_A-4,Pancalyze_HE_5_A-5,Pancalyze_HE_1_A-12
46,Pancalyze_HE_6_A-5,Pancalyze_HE_5_A-6,Pancalyze_HE_2_G-7
47,Pancalyze_HE_6_A-6,Pancalyze_HE_3_E-3,Pancalyze_HE_2_G-8
48,Pancalyze_HE_6_A-7,Pancalyze_HE_3_E-4,Pancalyze_HE_1_E-9
49,Pancalyze_HE_6_A-8,Pancalyze_HE_2_E-9,Pancalyze_HE_7_B-1
50,Pancalyze_HE_6_B-5,Pancalyze_HE_2_E-10,Pancalyze_HE_7_B-2
51,Pancalyze_HE_6_B-6,Pancalyze_HE_5_B-7,
52,Pancalyze_HE_6_B-11,Pancalyze_HE_5_B-8,
53,Pancalyze_HE_6_B-12,,
