,train,val,test
0,Pancalyze_HE_2_H-7,Pancalyze_HE_6_C-7,Pancalyze_HE_4_F-3
1,Pancalyze_HE_2_H-8,Pancalyze_HE_6_C-8,Pancalyze_HE_4_F-4
2,Pancalyze_HE_2_H-9,Pancalyze_HE_1_B-1,Pancalyze_HE_9_G-11
3,Pancalyze_HE_2_H-10,Pancalyze_HE_1_B-2,Pancalyze_HE_9_G-12
4,Pancalyze_HE_2_H-11,Pancalyze_HE_2_C-3,Pancalyze_HE_5_C-11
5,Pancalyze_HE_2_H-12,Pancalyze_HE_2_C-4,Pancalyze_HE_5_C-12
6,Pancalyze_HE_3_A-1,Pancalyze_HE_1_H-5,Pancalyze_HE_6_E-11
7,Pancalyze_HE_3_A-2,Pancalyze_HE_1_H-6,Pancalyze_HE_6_E-12
8,Pancalyze_HE_3_A-7,Pancalyze_HE_6_A-5,Pancalyze_HE_5_G-3
9,Pancalyze_HE_3_A-8,Pancalyze_HE_6_A-6,Pancalyze_HE_5_G-4
10,Pancalyze_HE_3_A-9,Pancalyze_HE_6_B-11,Pancalyze_HE_4_G-9
11,Pancalyze_HE_3_A-10,Pancalyze_HE_6_B-12,Pancalyze_HE_4_G-10
12,Pancalyze_HE_3_B-3,Pancalyze_HE_1_D-1,Pancalyze_HE_1_D-7
13,Pancalyze_HE_3_B-4,Pancalyze_HE_1_D-2,Pancalyze_HE_1_D-8
14,Pancalyze_HE_3_B-7,Pancalyze_HE_4_C-11,Pancalyze_HE_5_E-11
15,Pancalyze_HE_3_B-8,Pancalyze_HE_4_C-12,Pancalyze_HE_5_E-12
16,Pancalyze_HE_3_C-1,Pancalyze_HE_4_B-7,Pancalyze_HE_4_B-1
17,Pancalyze_HE_3_C-2,Pancalyze_HE_4_B-8,Pancalyze_HE_4_B-2
18,Pancalyze_HE_3_C-5,Pancalyze_HE_8_B-3,Pancalyze_HE_8_E-11
19,Pancalyze_HE_3_C-6,Pancalyze_HE_8_B-4,Pancalyze_HE_8_E-12
20,Pancalyze_HE_3_C-11,Pancalyze_HE_4_E-3,Pancalyze_HE_9_H-1
21,Pancalyze_HE_3_C-12,Pancalyze_HE_4_E-4,Pancalyze_HE_9_H-2
22,Pancalyze_HE_3_D-9,Pancalyze_HE_6_E-9,Pancalyze_HE_7_D-3
23,Pancalyze_HE_3_D-10,Pancalyze_HE_6_E-10,Pancalyze_HE_7_D-4
24,Pancalyze_HE_3_E-5,Pancalyze_HE_4_A-9,Pancalyze_HE_5_F-1
25,Pancalyze_HE_3_E-6,Pancalyze_HE_4_A-10,Pancalyze_HE_5_F-2
26,Pancalyze_HE_3_E-7,Pancalyze_HE_7_B-7,Pancalyze_HE_5_A-7
27,Pancalyze_HE_3_E-8,Pancalyze_HE_7_B-8,Pancalyze_HE_5_A-8
28,Pancalyze_HE_3_E-11,Pancalyze_HE_2_E-1,Pancalyze_HE_5_F-11
29,Pancalyze_HE_3_E-12,Pancalyze_HE_2_E-2,Pancalyze_HE_5_F-12
30,Pancalyze_HE_3_F-1,Pancalyze_HE_8_B-1,Pancalyze_HE_4_B-11
