,train,val,test
0,Pancalyze_HE_2_H-7,Pancalyze_HE_1_F-9,Pancalyze_HE_8_E-5
1,Pancalyze_HE_2_H-8,Pancalyze_HE_6_C-9,Pancalyze_HE_8_E-6
2,Pancalyze_HE_2_H-9,Pancalyze_HE_6_C-10,Pancalyze_HE_2_A-5
3,Pancalyze_HE_2_H-10,Pancalyze_HE_6_C-1,Pancalyze_HE_2_A-6
4,Pancalyze_HE_3_A-7,Pancalyze_HE_6_C-2,Pancalyze_HE_2_G-1
5,Pancalyze_HE_3_A-8,Pancalyze_HE_5_A-1,Pancalyze_HE_2_G-2
6,Pancalyze_HE_3_A-9,Pancalyze_HE_5_A-2,Pancalyze_HE_7_F-4
7,Pancalyze_HE_3_A-10,Pancalyze_HE_4_C-11,Pancalyze_HE_5_C-1
8,Pancalyze_HE_3_B-3,Pancalyze_HE_4_C-12,Pancalyze_HE_5_C-2
9,Pancalyze_HE_3_B-4,Pancalyze_HE_7_F-9,Pancalyze_HE_3_A-1
10,Pancalyze_HE_3_B-7,Pancalyze_HE_7_F-10,Pancalyze_HE_3_A-2
11,Pancalyze_HE_3_B-8,Pancalyze_HE_3_C-1,Pancalyze_HE_5_C-11
12,Pancalyze_HE_3_C-5,Pancalyze_HE_3_C-2,Pancalyze_HE_5_C-12
13,Pancalyze_HE_3_C-6,Pancalyze_HE_3_C-11,Pancalyze_HE_4_B-1
14,Pancalyze_HE_3_D-9,Pancalyze_HE_3_C-12,Pancalyze_HE_4_B-2
15,Pancalyze_HE_3_D-10,Pancalyze_HE_4_H-5,Pancalyze_HE_9_E-1
16,Pancalyze_HE_3_E-5,Pancalyze_HE_4_H-6,Pancalyze_HE_9_E-2
17,Pancalyze_HE_3_E-6,Pancalyze_HE_8_B-9,Pancalyze_HE_1_E-5
18,Pancalyze_HE_3_E-7,Pancalyze_HE_1_B-1,Pancalyze_HE_1_E-6
19,Pancalyze_HE_3_E-8,Pancalyze_HE_1_B-2,Pancalyze_HE_4_F-5
20,Pancalyze_HE_3_E-11,Pancalyze_HE_7_E-11,Pancalyze_HE_4_F-6
21,Pancalyze_HE_3_E-12,Pancalyze_HE_7_E-12,Pancalyze_HE_8_E-11
22,Pancalyze_HE_3_F-1,Pancalyze_HE_7_D-3,Pancalyze_HE_8_E-12
23,Pancalyze_HE_3_F-2,Pancalyze_HE_7_D-4,Pancalyze_HE_1_H-11
24,Pancalyze_HE_3_F-7,Pancalyze_HE_2_H-11,Pancalyze_HE_1_H-12
25,Pancalyze_HE_3_F-8,Pancalyze_HE_2_H-12,Pancalyze_HE_1_H-9
26,Pancalyze_HE_3_G-5,Pancalyze_HE_7_B-5,Pancalyze_HE_1_H-10
27,Pancalyze_HE_3_G-6,Pancalyze_HE_7_B-6,Pancalyze_HE_9_F-3
28,Pancalyze_HE_3_G-9,Pancalyze_HE_4_D-11,Pancalyze_HE_9_F-4
29,Pancalyze_HE_3_G-10,Pancalyze_HE_4_D-12,Pancalyze_HE_4_A-7
