,train,val,test
0,101 15.26180 1.1,116 H 17.9754 1.1,146 T3
1,101 15.26180 2.1,116 H 17.9754 2.2,146 T1
2,101 15.26180 2.2,116 H 17.9754 1.2,146 N1
3,102 15.33190 2.2,116 H 17.9754 2.1,146 T2
4,102 15.33190 1.1,135 16.3496 J,146 N2
5,102 15.33190 2.1,135 16.3496 A,89 H 15.5476 1.1
6,103 16.42314 1.1,C 17.6716 2E he_063624,89 H 15.5476 2.1
7,103 16.42314 2.1,C 17.6716 2J he_063312,127 14.9683 F
8,104 15.35338 1.1,C 17.6716 2F he_062945,127 14.9683 A
9,104 15.35338 2.2,C 17.6716 2G he_063928,122 H 17.15235 N
10,104 15.35338 2.1,C 17.6716 2H he_062545,122 H 17.15235 T
11,107 16.31191 1.1,191 T1,257 T1
12,107 16.31191 2.1,191 N1,257 N1
13,108 15.41146 1.1,159 N1,328 N1
14,108 15.41146 2.2,159 T5,328 T1
15,108 15.41146 2.1,159 T1,C 18.17537 2H he_213456
16,111 17.29020 4F2,159 T4,C 18.17537 3C he_213835
17,111 17.29020 4d2,159 N2,C 18.17537 3A he_214105
18,113 9698 7W,159 T3,C 18.17537 2A he_213141
19,113 9698 7R,159 T2,C 18.17537 2I he_214527
20,118 17.27933 5a1,C 17.20195 2A he_041300,158 T1
21,118 17.27933 5J3,C 17.20195 2B he_041650,158 N1
22,131 14.13102 G,C 17.20195 2C he_040509,185 N1
23,132 14.9816 F,C 17.20195 2E he_040917,185 T1
24,132 14.9816 M,244 T1,288 T1
25,134 15.5812 K,244 N1,288 N1
26,134 15.5812 NS4,C 17.45812 2D he_001907,182 N1
27,138 T1,C 17.45812 2A he_001534,182 T1
28,138 N1,C 16.19508 2B he_094020,266 T1
29,144 T1,C 16.19508 2A he_094432,266 N1
30,144 N1,317 N1,C 14.16487 4A pas_103855
31,148 N1,274 N1,C 18.3904 2A he_224556
32,148 T1,274 T1,C 18.3904 2B he_224256
33,152 T3,232 T1,97 16.13893 1.1
34,152 T2,232 N1,97 16.13893 2.1
35,152 N1,203 T1,50 15.2676 TM1
36,152 T1,203 N1,50 15.2676 TM2
37,152 N2,78 16.7399 3d,50 15.2676 normal
38,160 T3,78 16.7399 1a,C 14.13484 8B he_104219
39,160 N1,83 15.8623 2.1,242 T1
40,160 T2,83 15.8623 1.3,242 N1
41,160 T1,83 15.8623 1.4,176 T1
42,161 N1,83 15.8623 1.5,176 N1
43,161 T5,83 15.8623 1.1,272 T1
44,161 T2,83 15.8623 1.2,272 N1
45,161 N5,83 15.8623 2.2,C 17.36134 2B he_015448
46,161 N2,147 T2,C 17.36134 2C he_015157
47,161 T3,147 N2,C 17.36134 2E he_015844
48,161 T4,147 T1,C 17.36134 2D he_020230
49,161 N3,147 N1,263 N1
50,161 T1,164 N1,C 17.12297 2B1 he_053936
51,161 N6,164 T3,C 17.12297 2A2 he_054238
52,161 N7,164 N2,C 17.12297 2A1 he_053610
53,161 N4,164 T1,95 H 15.3141 1.1
54,165 T1,164 T2,23 15.1107 i
55,165 N1,164 N3,23 15.1107 g
56,167 T5,314 N1,209 T2
57,167 T2,322 N1,209 N1
58,167 T3,88 H 16.6190 1.1,209 T1
59,167 N1,88 H 16.6190 2.1,209 N2
60,167 T1,221 N1,
61,167 N3,221 T1,
62,167 T4,234 N1,
63,167 N2,234 T1,
64,171 T1,96 H 15.3068 1.1,
65,171 N1,222 T1,
66,171 N2,222 N1,
67,171 T2,115 28928 8T,
68,172 N1,115 28928 8V,
69,172 T1,296 T1,
70,173 T1,296 N1,
71,173 N1,,
72,173 T2,,
73,178 N1,,
74,178 T1,,
75,179 T1,,
76,179 N1,,
77,180 N1,,
78,180 T1,,
79,180 N2,,
80,180 T2,,
81,181 T1,,
82,181 N1,,
83,184 N1,,
84,184 T2,,
85,184 T1,,
86,187 T1,,
87,187 N1,,
88,198 T1,,
89,198 N1,,
90,199 N1,,
91,199 T1,,
92,200 T1,,
93,200 N1,,
94,206 T1,,
95,206 N1,,
96,212 N1,,
97,212 T1,,
98,213 T1,,
99,213 N1,,
100,218 N1,,
101,218 T1,,
102,218 N2,,
103,218 T2,,
104,21 H 15.10971 1.2,,
105,21 H 15.10971 1.1,,
106,21 15.10971 2.1,,
107,21 15.10971 2.2,,
108,223 T1,,
109,224 T1,,
110,224 N1,,
111,225 T1,,
112,225 N1,,
113,228 T1,,
114,228 N1,,
115,22 15.11592 2.2,,
116,22 15.11592 2.1,,
117,22 15.11592 1.1,,
118,22 15.11592 1.2,,
119,230 T2,,
120,230 T1,,
121,236 T1,,
122,238 T1,,
123,238 N1,,
124,239 T1,,
125,241 T1,,
126,247 T1,,
127,247 N1,,
128,248 T2,,
129,248 N1,,
130,24 15.6839 1.1,,
131,24 15.6839 2.1,,
132,251 T2,,
133,251 T1,,
134,253 T1,,
135,253 N1,,
136,256 N1,,
137,256 T1,,
138,261 N1,,
139,261 T1,,
140,265 T1,,
141,265 N1,,
142,270 T1,,
143,270 N1,,
144,273 T1,,
145,273 N1,,
146,280 N1,,
147,281 T1,,
148,281 N1,,
149,283 N1,,
150,283 T1,,
151,284 N1,,
152,287 N1,,
153,287 T1,,
154,290 N1,,
155,290 T1,,
156,293 N1,,
157,293 T1,,
158,2 15.4379 T1,,
159,2 15.4379 T4,,
160,2 15.4379 T2,,
161,2 15.4379 T3,,
162,307 T1,,
163,30 H 16.444 1-15,,
164,30 H 16.444 2.1,,
165,30 H 16.444 2.2,,
166,313 N1,,
167,316 N1,,
168,318 N1,,
169,318 T1,,
170,324 N1,,
171,324 T1,,
172,325 N1,,
173,334 T1,,
174,334 N1,,
175,335 T1,,
176,335 N1,,
177,34 15.15571 1.1,,
178,34 15.15571 1.2,,
179,34 15.15571 2.1,,
180,34 15.15571 2.2,,
181,35 15.16251 2.1,,
182,35 15.16251 2.2,,
183,35 15.16251 1.2,,
184,35 15.16251 1.1,,
185,37 17.2311 1 TM,,
186,37 17.2311 1 normal,,
187,38 17.2365 normal,,
188,38 17.2365 TM,,
189,43 14.12458 Ib1b,,
190,43 14.12458 Ib3,,
191,45 14.13033 b6,,
192,45 14.13033 b4,,
193,48 14.15849 8C,,
194,48 14.15849 norm,,
195,49 15.2000 c1,,
196,49 15.2000 b2,,
197,4 15.5542 1.1,,
198,4 15.5542 1.3,,
199,4 15.5542 1.2,,
200,4 15.5542 2.1,,
201,51 15.3445 TM,,
202,51 15.3445 normal,,
203,54 15.5286 c49,,
204,54 15.5286 C66,,
205,54 15.5286 C76,,
206,58 15.13810 T1.2,,
207,58 15.13810 T1.1,,
208,58 15.13810 N2.2,,
209,58 15.13810 N2.1,,
210,59 15.8220 a,,
211,59 15.8220 1 5a,,
212,60 15.8584 ba,,
213,60 15.8584 8C,,
214,61 15.8862 7B,,
215,61 15.8862 normal,,
216,62 15.14428 4A,,
217,62 15.14428 normal,,
218,64 15.12238 normal,,
219,64 15.12238 Tumor,,
220,65 15.11578 e1,,
221,65 15.11578 d1,,
222,73 16.474 7C,,
223,73 16.474 5d,,
224,75 16.2709 f11,,
225,75 16.2709 TM,,
226,75 16.2709 normal,,
227,7 15.3729 1.1,,
228,7 15.3729 1.2,,
229,7 H 15.3729 2.1 T1,,
230,7 H 15.3729 2.2 T2,,
231,7 15.3729 2.2,,
232,7 15.3729 2.1,,
233,84 H 16.5194 1.1,,
234,84 H 16.5194 2.1 PA,,
235,8 H 16.5165 2.2,,
236,8 H 16.5165 1.1,,
237,8 H 16.5165 2.4,,
238,8 H 16.5165 1.2,,
239,91 H 15.5457 1.2,,
240,91 H 15.5457 1.1,,
241,98 15.25148 1.1,,
242,98 15.25148 2.2,,
243,98 15.25148 2.1,,
244,C 16.10821 2E he_100729,,
245,C 16.10821 2B he_101102,,
246,C 18.13124 2H he_215147,,
247,C 18.13124 2E he_214841,,
248,C 18.13124 2C he_215544,,
249,C 16.15924 2A he_095048,,
250,C 17.17358 2G he_112637,,
251,C 17.17360 2E he_045047,,
252,C 17.17360 3C he_050600,,
253,C 17.17360 2A he_045849,,
254,C 17.17360 3B he_050214,,
255,C 17.17360 2F he_045426,,
256,C 17.22002 2C he_035726,,
