,train,val,test
0,101 15.26180 1.1,83 15.8623 2.1,C 18.13124 2H he_215147
1,101 15.26180 2.1,83 15.8623 1.3,C 18.13124 2E he_214841
2,101 15.26180 2.2,83 15.8623 1.4,C 18.13124 2C he_215544
3,103 16.42314 1.1,83 15.8623 1.5,65 15.11578 e1
4,103 16.42314 2.1,83 15.8623 1.1,65 15.11578 d1
5,104 15.35338 1.1,83 15.8623 1.2,97 16.13893 1.1
6,104 15.35338 2.2,83 15.8623 2.2,97 16.13893 2.1
7,104 15.35338 2.1,281 T1,102 15.33190 2.2
8,107 16.31191 1.1,281 N1,102 15.33190 1.1
9,107 16.31191 2.1,225 T1,102 15.33190 2.1
10,111 17.29020 4F2,225 N1,2 15.4379 T1
11,111 17.29020 4d2,178 N1,2 15.4379 T4
12,113 9698 7W,178 T1,2 15.4379 T2
13,113 9698 7R,182 N1,2 15.4379 T3
14,116 H 17.9754 1.1,182 T1,C 17.20195 2A he_041300
15,116 H 17.9754 2.2,198 T1,C 17.20195 2B he_041650
16,116 H 17.9754 1.2,198 N1,C 17.20195 2C he_040509
17,116 H 17.9754 2.1,134 15.5812 K,C 17.20195 2E he_040917
18,118 17.27933 5a1,134 15.5812 NS4,200 T1
19,118 17.27933 5J3,61 15.8862 7B,200 N1
20,122 H 17.15235 N,61 15.8862 normal,62 15.14428 4A
21,122 H 17.15235 T,22 15.11592 2.2,62 15.14428 normal
22,127 14.9683 F,22 15.11592 2.1,131 14.13102 G
23,127 14.9683 A,22 15.11592 1.1,C 17.45812 2D he_001907
24,135 16.3496 J,22 15.11592 1.2,C 17.45812 2A he_001534
25,135 16.3496 A,C 18.4526 2D he_223258,199 N1
26,138 T1,C 18.4526 2F he_223920,199 T1
27,138 N1,C 17.51196 2D he_234255,C 18.8618 3B he_220740
28,144 T1,C 17.51196 2A he_233117,C 18.8618 3F
29,144 N1,C 17.51196 2G he_233951,C 18.8618 3K he_220118
30,146 T3,C 17.51196 2B he_233455,C 18.8618 2H he_215853
31,146 T1,C 17.51196 2C he_232757,C 18.8618 2E he_220415
32,146 N1,C 17.51196 3D he_233659,C 18.8618 3H he_221442
33,146 T2,287 N1,51 15.3445 TM
34,146 N2,287 T1,51 15.3445 normal
35,147 T2,334 T1,C 18.23144 2C he_210452
36,147 N2,334 N1,C 18.23144 2B he_210104
37,147 T1,325 N1,148 N1
38,147 N1,324 N1,148 T1
39,152 T3,324 T1,132 14.9816 F
40,152 T2,108 15.41146 1.1,132 14.9816 M
41,152 N1,108 15.41146 2.2,105 17.12464 2.1
42,152 T1,108 15.41146 2.1,105 17.12464 1.1
43,152 N2,41 15.1241 TM,275 T1
44,158 T1,41 15.1241 norm,87 H 15.893 1.1
45,158 N1,23 15.1107 i,87 H 15.893 2.1
46,159 N1,23 15.1107 g,72 16.6464 49
47,159 T5,263 N1,72 16.6464 f9
48,159 T1,C 16.125 2B he_103547,C 17.38328 3C he_010758
49,159 T4,C 16.125 2C he_103212,C 17.38328 2B he_011411
50,159 N2,88 H 16.6190 1.1,C 17.38328 3D he_011103
51,159 T3,88 H 16.6190 2.1,C 17.38328 2A he_010501
52,159 T2,302 T2,C 17.38328 2C he_010131
53,160 T3,302 T1,82 17.1547 1.1
54,160 N1,154 T3,82 17.1547 1.2
55,160 T2,154 T2,82 17.1547 1.4
56,160 T1,154 T1,82 17.1547 1.3
57,161 N1,154 N1,82 17.1547 2.2
58,161 T5,154 N2,82 17.1547 2.1
59,161 T2,39 15.33 1e 9d,82 17.1547 2.4
60,161 N5,39 15.33 1e 7b,82 17.1547 2.3
61,161 N2,C 17.36134 2B he_015448,320 N1
62,161 T3,C 17.36134 2C he_015157,320 T1
63,161 T4,C 17.36134 2E he_015844,289 N1
64,161 N3,C 17.36134 2D he_020230,289 T1
65,161 T1,C 14.13484 8B he_104219,133 15.161 G
66,161 N6,,133 15.161 A
67,161 N7,,C 13.22838 7E he_105439
68,161 N4,,
69,165 T1,,
70,165 N1,,
71,167 T5,,
72,167 T2,,
73,167 T3,,
74,167 N1,,
75,167 T1,,
76,167 N3,,
77,167 T4,,
78,167 N2,,
79,171 T1,,
80,171 N1,,
81,171 N2,,
82,171 T2,,
83,172 N1,,
84,172 T1,,
85,173 T1,,
86,173 N1,,
87,173 T2,,
88,179 T1,,
89,179 N1,,
90,180 N1,,
91,180 T1,,
92,180 N2,,
93,180 T2,,
94,181 T1,,
95,181 N1,,
96,184 N1,,
97,184 T2,,
98,184 T1,,
99,185 N1,,
100,185 T1,,
101,187 T1,,
102,187 N1,,
103,191 T1,,
104,191 N1,,
105,203 T1,,
106,203 N1,,
107,206 T1,,
108,206 N1,,
109,212 N1,,
110,212 T1,,
111,213 T1,,
112,213 N1,,
113,218 N1,,
114,218 T1,,
115,218 N2,,
116,218 T2,,
117,21 H 15.10971 1.2,,
118,21 H 15.10971 1.1,,
119,21 15.10971 2.1,,
120,21 15.10971 2.2,,
121,223 T1,,
122,224 T1,,
123,224 N1,,
124,228 T1,,
125,228 N1,,
126,230 T2,,
127,230 T1,,
128,232 T1,,
129,232 N1,,
130,236 T1,,
131,238 T1,,
132,238 N1,,
133,239 T1,,
134,241 T1,,
135,244 T1,,
136,244 N1,,
137,247 T1,,
138,247 N1,,
139,248 T2,,
140,248 N1,,
141,24 15.6839 1.1,,
142,24 15.6839 2.1,,
143,251 T2,,
144,251 T1,,
145,253 T1,,
146,253 N1,,
147,256 N1,,
148,256 T1,,
149,257 T1,,
150,257 N1,,
151,261 N1,,
152,261 T1,,
153,265 T1,,
154,265 N1,,
155,266 T1,,
156,266 N1,,
157,270 T1,,
158,270 N1,,
159,273 T1,,
160,273 N1,,
161,274 N1,,
162,274 T1,,
163,280 N1,,
164,283 N1,,
165,283 T1,,
166,284 N1,,
167,288 T1,,
168,288 N1,,
169,290 N1,,
170,290 T1,,
171,293 N1,,
172,293 T1,,
173,307 T1,,
174,30 H 16.444 1-15,,
175,30 H 16.444 2.1,,
176,30 H 16.444 2.2,,
177,313 N1,,
178,316 N1,,
179,317 N1,,
180,318 N1,,
181,318 T1,,
182,328 N1,,
183,328 T1,,
184,335 T1,,
185,335 N1,,
186,34 15.15571 1.1,,
187,34 15.15571 1.2,,
188,34 15.15571 2.1,,
189,34 15.15571 2.2,,
190,35 15.16251 2.1,,
191,35 15.16251 2.2,,
192,35 15.16251 1.2,,
193,35 15.16251 1.1,,
194,37 17.2311 1 TM,,
195,37 17.2311 1 normal,,
196,38 17.2365 normal,,
197,38 17.2365 TM,,
198,43 14.12458 Ib1b,,
199,43 14.12458 Ib3,,
200,45 14.13033 b6,,
201,45 14.13033 b4,,
202,48 14.15849 8C,,
203,48 14.15849 norm,,
204,49 15.2000 c1,,
205,49 15.2000 b2,,
206,4 15.5542 1.1,,
207,4 15.5542 1.3,,
208,4 15.5542 1.2,,
209,4 15.5542 2.1,,
210,50 15.2676 TM1,,
211,50 15.2676 TM2,,
212,50 15.2676 normal,,
213,54 15.5286 c49,,
214,54 15.5286 C66,,
215,54 15.5286 C76,,
216,58 15.13810 T1.2,,
217,58 15.13810 T1.1,,
218,58 15.13810 N2.2,,
219,58 15.13810 N2.1,,
220,59 15.8220 a,,
221,59 15.8220 1 5a,,
222,60 15.8584 ba,,
223,60 15.8584 8C,,
224,64 15.12238 normal,,
225,64 15.12238 Tumor,,
226,73 16.474 7C,,
227,73 16.474 5d,,
228,75 16.2709 f11,,
229,75 16.2709 TM,,
230,75 16.2709 normal,,
231,78 16.7399 3d,,
232,78 16.7399 1a,,
233,7 15.3729 1.1,,
234,7 15.3729 1.2,,
235,7 H 15.3729 2.1 T1,,
236,7 H 15.3729 2.2 T2,,
237,7 15.3729 2.2,,
238,7 15.3729 2.1,,
239,84 H 16.5194 1.1,,
240,84 H 16.5194 2.1 PA,,
241,89 H 15.5476 1.1,,
242,89 H 15.5476 2.1,,
243,8 H 16.5165 2.2,,
244,8 H 16.5165 1.1,,
245,8 H 16.5165 2.4,,
246,8 H 16.5165 1.2,,
247,91 H 15.5457 1.2,,
248,91 H 15.5457 1.1,,
249,98 15.25148 1.1,,
250,98 15.25148 2.2,,
251,98 15.25148 2.1,,
252,C 16.10821 2E he_100729,,
253,C 16.10821 2B he_101102,,
254,C 16.15924 2A he_095048,,
255,C 14.16487 4A pas_103855,,
256,C 17.17358 2G he_112637,,
257,C 17.17360 2E he_045047,,
258,C 17.17360 3C he_050600,,
259,C 17.17360 2A he_045849,,
260,C 17.17360 3B he_050214,,
261,C 17.17360 2F he_045426,,
262,C 18.17537 2H he_213456,,
263,C 18.17537 3C he_213835,,
264,C 18.17537 3A he_214105,,
265,C 18.17537 2A he_213141,,
266,C 18.17537 2I he_214527,,
267,C 16.19508 2B he_094020,,
268,C 16.19508 2A he_094432,,
269,C 17.22002 2C he_035726,,
270,C 17.22002 2B he_040117,,
271,C 13.22089 4A he_105839,,
272,C 17.2628 4A he_065112,,
273,C 16.26859 2D he_090846,,
274,C 17.2882 5B he_064727,,
275,C 17.2882 5D he_064324,,
276,C 17.32211 3F he_034105,,
277,C 17.32211 2B he_032431,,
278,C 17.32211 2I he_032953,,
279,C 17.32211 2M he_033431,,
280,C 17.32211 2E he_033805,,
281,C 17.32211 2H he_034352,,
282,C 17.32587 2I he_032106,,
283,C 17.32587 2J he_031653,,
284,C 17.32587 2F he_031348,,
285,C 17.32587 2C he_024858,,
286,C 17.32587 2A he_025601,,
287,C 17.32587 2K he_025245,,
288,C 17.32587 2B he_030634,,
289,C 17.32587 3C he_025926,,
290,C 17.32587 2H he_031002,,
291,C 17.32587 2C pas_030254,,
292,C 16.33050 2G he_090110,,
293,C 17.35942 2A he_021245,,
294,C 17.35942 2F he_020604,,
295,C 17.35942 2B he_020907,,
296,C 17.37698 3A he_013720,,
297,C 17.37698 2G he_012119,,
298,C 17.37698 3E he_012914,,
299,C 17.37698 2D he_011739,,
300,C 17.37698 2F he_012520,,
301,C 17.37698 3B he_013246,,
302,C 17.37698 2E he_014044,,
303,C 16.38030 2E he_082649,,
304,C 16.38030 1J he_082348,,
305,C 16.38030 1H he_083040,,
306,C 16.38030 1I he_082007,,
307,C 16.38030 2D he_083418,,
308,C 18.3904 2A he_224556,,
309,C 18.3904 2B he_224256,,
310,C 16.44640 2C he_075817,,
311,C 16.44640 2B he_080154,,
312,C 16.45680 2C he_070257,,
313,C 17.50389 2D,,
314,C 17.50389 2C,,
315,C 17.50389 2B,,
316,C 17.50389 2E,,
