,train,val,test
0,101 15.26180 1.1,232 T1,111 17.29020 4F2
1,101 15.26180 2.1,232 N1,111 17.29020 4d2
2,101 15.26180 2.2,116 H 17.9754 1.1,316 N1
3,102 15.33190 2.2,116 H 17.9754 2.2,C 16.44640 2C he_075817
4,102 15.33190 1.1,116 H 17.9754 1.2,C 16.44640 2B he_080154
5,102 15.33190 2.1,116 H 17.9754 2.1,73 16.474 7C
6,103 16.42314 1.1,C 18.3904 2A he_224556,73 16.474 5d
7,103 16.42314 2.1,C 18.3904 2B he_224256,270 T1
8,104 15.35338 1.1,266 T1,270 N1
9,104 15.35338 2.2,266 N1,198 T1
10,104 15.35338 2.1,C 17.50389 2D,198 N1
11,107 16.31191 1.1,C 17.50389 2C,180 N1
12,107 16.31191 2.1,C 17.50389 2B,180 T1
13,108 15.41146 1.1,C 17.50389 2E,180 N2
14,108 15.41146 2.2,325 N1,180 T2
15,108 15.41146 2.1,54 15.5286 c49,C 16.38030 2E he_082649
16,118 17.27933 5a1,54 15.5286 C66,C 16.38030 1J he_082348
17,118 17.27933 5J3,54 15.5286 C76,C 16.38030 1H he_083040
18,122 H 17.15235 N,127 14.9683 F,C 16.38030 1I he_082007
19,122 H 17.15235 T,127 14.9683 A,C 16.38030 2D he_083418
20,131 14.13102 G,113 9698 7W,30 H 16.444 1-15
21,132 14.9816 F,113 9698 7R,30 H 16.444 2.1
22,132 14.9816 M,24 15.6839 1.1,30 H 16.444 2.2
23,134 15.5812 K,24 15.6839 2.1,C 14.16487 4A pas_103855
24,134 15.5812 NS4,284 N1,257 T1
25,135 16.3496 J,35 15.16251 2.1,257 N1
26,135 16.3496 A,35 15.16251 2.2,C 17.37698 3A he_013720
27,138 T1,35 15.16251 1.2,C 17.37698 2G he_012119
28,138 N1,35 15.16251 1.1,C 17.37698 3E he_012914
29,144 T1,84 H 16.5194 1.1,C 17.37698 2D he_011739
30,144 N1,84 H 16.5194 2.1 PA,C 17.37698 2F he_012520
31,146 T3,61 15.8862 7B,C 17.37698 3B he_013246
32,146 T1,61 15.8862 normal,C 17.37698 2E he_014044
33,146 N1,165 T1,199 N1
34,146 T2,165 N1,199 T1
35,146 N2,C 18.17537 2H he_213456,C 13.22089 4A he_105839
36,147 T2,C 18.17537 3C he_213835,C 17.32587 2I he_032106
37,147 N2,C 18.17537 3A he_214105,C 17.32587 2J he_031653
38,147 T1,C 18.17537 2A he_213141,C 17.32587 2F he_031348
39,147 N1,C 18.17537 2I he_214527,C 17.32587 2C he_024858
40,148 N1,C 16.17171 2A he_094746,C 17.32587 2A he_025601
41,148 T1,109 15.28188 2.1,C 17.32587 2K he_025245
42,152 T3,109 15.28188 1.1,C 17.32587 2B he_030634
43,152 T2,109 15.28188 2.2,C 17.32587 3C he_025926
44,152 N1,245 N1,C 17.32587 2H he_031002
