,train,val,test
0,101 15.26180 1.1,113 9698 7W,C 16.15924 2A he_095048
1,101 15.26180 2.1,113 9698 7R,38 17.2365 normal
2,101 15.26180 2.2,172 N1,38 17.2365 TM
3,103 16.42314 1.1,172 T1,273 T1
4,103 16.42314 2.1,102 15.33190 2.2,273 N1
5,107 16.31191 1.1,102 15.33190 1.1,280 N1
6,107 16.31191 2.1,102 15.33190 2.1,C 17.6716 2E he_063624
7,108 15.41146 1.1,239 T1,C 17.6716 2J he_063312
8,108 15.41146 2.2,104 15.35338 1.1,C 17.6716 2F he_062945
9,108 15.41146 2.1,104 15.35338 2.2,C 17.6716 2G he_063928
10,111 17.29020 4F2,104 15.35338 2.1,C 17.6716 2H he_062545
11,111 17.29020 4d2,165 T1,144 T1
12,116 H 17.9754 1.1,165 N1,144 N1
13,116 H 17.9754 2.2,236 T1,89 H 15.5476 1.1
14,116 H 17.9754 1.2,C 17.37698 3A he_013720,89 H 15.5476 2.1
15,116 H 17.9754 2.1,C 17.37698 2G he_012119,228 T1
16,118 17.27933 5a1,C 17.37698 3E he_012914,228 N1
17,118 17.27933 5J3,C 17.37698 2D he_011739,251 T2
18,127 14.9683 F,C 17.37698 2F he_012520,251 T1
19,127 14.9683 A,C 17.37698 3B he_013246,30 H 16.444 1-15
20,131 14.13102 G,C 17.37698 2E he_014044,30 H 16.444 2.1
21,132 14.9816 F,191 T1,30 H 16.444 2.2
22,132 14.9816 M,191 N1,159 N1
23,134 15.5812 K,318 N1,159 T5
24,134 15.5812 NS4,318 T1,159 T1
25,135 16.3496 J,213 T1,159 T4
26,135 16.3496 A,213 N1,159 N2
27,138 T1,122 H 17.15235 N,159 T3
28,138 N1,122 H 17.15235 T,159 T2
29,146 T3,161 N1,73 16.474 7C
30,146 T1,161 T5,73 16.474 5d
31,146 N1,161 T2,60 15.8584 ba
32,146 T2,161 N5,60 15.8584 8C
33,146 N2,161 N2,167 T5
34,147 T2,161 T3,167 T2
35,147 N2,161 T4,167 T3
36,147 T1,161 N3,167 N1
