,train,val,test
0,101 15.26180 1.1,135 16.3496 J,C 18.23144 2C he_210452
1,101 15.26180 2.1,135 16.3496 A,C 18.23144 2B he_210104
2,101 15.26180 2.2,173 T1,8 H 16.5165 2.2
3,102 15.33190 2.2,173 N1,8 H 16.5165 1.1
4,102 15.33190 1.1,173 T2,8 H 16.5165 2.4
5,102 15.33190 2.1,224 T1,8 H 16.5165 1.2
6,103 16.42314 1.1,224 N1,127 14.9683 F
7,103 16.42314 2.1,171 T1,127 14.9683 A
8,104 15.35338 1.1,171 N1,C 16.45680 2C he_070257
9,104 15.35338 2.2,171 N2,83 15.8623 2.1
10,104 15.35338 2.1,171 T2,83 15.8623 1.3
11,107 16.31191 1.1,C 18.4526 2D he_223258,83 15.8623 1.4
12,107 16.31191 2.1,C 18.4526 2F he_223920,83 15.8623 1.5
13,111 17.29020 4F2,288 T1,83 15.8623 1.1
14,111 17.29020 4d2,288 N1,83 15.8623 1.2
15,113 9698 7W,C 14.16487 4A pas_103855,83 15.8623 2.2
16,113 9698 7R,108 15.41146 1.1,48 14.15849 8C
17,116 H 17.9754 1.1,108 15.41146 2.2,48 14.15849 norm
18,116 H 17.9754 2.2,108 15.41146 2.1,191 T1
19,116 H 17.9754 1.2,C 17.32211 3F he_034105,191 N1
20,116 H 17.9754 2.1,C 17.32211 2B he_032431,236 T1
21,118 17.27933 5a1,C 17.32211 2I he_032953,4 15.5542 1.1
22,118 17.27933 5J3,C 17.32211 2M he_033431,4 15.5542 1.3
23,122 H 17.15235 N,C 17.32211 2E he_033805,4 15.5542 1.2
24,122 H 17.15235 T,C 17.32211 2H he_034352,4 15.5542 2.1
25,131 14.13102 G,62 15.14428 4A,54 15.5286 c49
26,132 14.9816 F,62 15.14428 normal,54 15.5286 C66
27,132 14.9816 M,59 15.8220 a,54 15.5286 C76
28,134 15.5812 K,59 15.8220 1 5a,316 N1
29,134 15.5812 NS4,283 N1,C 18.8618 3B he_220740
30,144 T1,283 T1,C 18.8618 3F
31,144 N1,184 N1,C 18.8618 3K he_220118
32,146 T3,184 T2,C 18.8618 2H he_215853
33,146 T1,184 T1,C 18.8618 2E he_220415
34,146 N1,334 T1,C 18.8618 3H he_221442
35,146 T2,334 N1,C 17.2882 5B he_064727
36,146 N2,C 16.10821 2E he_100729,C 17.2882 5D he_064324
37,147 T2,C 16.10821 2B he_101102,49 15.2000 c1
38,147 N2,138 T1,49 15.2000 b2
39,147 T1,138 N1,64 15.12238 normal
40,147 N1,319 A,64 15.12238 Tumor
41,148 N1,314 N1,22 15.11592 2.2
42,148 T1,9 16.6833 2.1,22 15.11592 2.1
43,152 T3,9 16.6833 1.1,22 15.11592 1.1
44,152 T2,204 N1,22 15.11592 1.2
45,152 N1,204 T1,221 N1
46,152 T1,272 T1,221 T1
47,152 N2,272 N1,164 N1
48,158 T1,315 T1,164 T3
49,158 N1,315 N1,164 N2
50,159 N1,322 N1,164 T1
51,159 T5,302 T2,164 T2
52,159 T1,302 T1,164 N3
53,159 T4,149 N2,209 T2
54,159 N2,149 N1,209 N1
55,159 T3,149 T1,209 T1
56,159 T2,149 T2,209 N2
57,160 T3,109 15.28188 2.1,C 17.14901 2B he_052114
58,160 N1,109 15.28188 1.1,C 17.14901 2A he_052517
59,160 T2,109 15.28188 2.2,269 N1
60,160 T1,,269 T1
61,161 N1,,C 14.13484 8B he_104219
62,161 T5,,329 N1
63,161 T2,,329 T1
64,161 N5,,222 T1
65,161 N2,,222 N1
66,161 T3,,C 16.125 2B he_103547
67,161 T4,,C 16.125 2C he_103212
68,161 N3,,C 13.22838 7E he_105439
69,161 T1,,
70,161 N6,,
71,161 N7,,
72,161 N4,,
73,165 T1,,
74,165 N1,,
75,167 T5,,
76,167 T2,,
77,167 T3,,
78,167 N1,,
79,167 T1,,
80,167 N3,,
81,167 T4,,
82,167 N2,,
83,172 N1,,
84,172 T1,,
85,178 N1,,
86,178 T1,,
87,179 T1,,
88,179 N1,,
89,180 N1,,
90,180 T1,,
91,180 N2,,
92,180 T2,,
93,181 T1,,
94,181 N1,,
95,182 N1,,
96,182 T1,,
97,185 N1,,
98,185 T1,,
99,187 T1,,
100,187 N1,,
101,198 T1,,
102,198 N1,,
103,199 N1,,
104,199 T1,,
105,200 T1,,
106,200 N1,,
107,203 T1,,
108,203 N1,,
109,206 T1,,
110,206 N1,,
111,212 N1,,
112,212 T1,,
113,213 T1,,
114,213 N1,,
115,218 N1,,
116,218 T1,,
117,218 N2,,
118,218 T2,,
119,21 H 15.10971 1.2,,
120,21 H 15.10971 1.1,,
121,21 15.10971 2.1,,
122,21 15.10971 2.2,,
123,223 T1,,
124,225 T1,,
125,225 N1,,
126,228 T1,,
127,228 N1,,
128,230 T2,,
129,230 T1,,
130,232 T1,,
131,232 N1,,
132,238 T1,,
133,238 N1,,
134,239 T1,,
135,241 T1,,
136,244 T1,,
137,244 N1,,
138,247 T1,,
139,247 N1,,
140,248 T2,,
141,248 N1,,
142,24 15.6839 1.1,,
143,24 15.6839 2.1,,
144,251 T2,,
145,251 T1,,
146,253 T1,,
147,253 N1,,
148,256 N1,,
149,256 T1,,
150,257 T1,,
151,257 N1,,
152,261 N1,,
153,261 T1,,
154,265 T1,,
155,265 N1,,
156,266 T1,,
157,266 N1,,
158,270 T1,,
159,270 N1,,
160,273 T1,,
161,273 N1,,
162,274 N1,,
163,274 T1,,
164,280 N1,,
165,281 T1,,
166,281 N1,,
167,284 N1,,
168,287 N1,,
169,287 T1,,
170,290 N1,,
171,290 T1,,
172,293 N1,,
173,293 T1,,
174,2 15.4379 T1,,
175,2 15.4379 T4,,
176,2 15.4379 T2,,
177,2 15.4379 T3,,
178,307 T1,,
179,30 H 16.444 1-15,,
180,30 H 16.444 2.1,,
181,30 H 16.444 2.2,,
182,313 N1,,
183,317 N1,,
184,318 N1,,
185,318 T1,,
186,324 N1,,
187,324 T1,,
188,325 N1,,
189,328 N1,,
190,328 T1,,
191,335 T1,,
192,335 N1,,
193,34 15.15571 1.1,,
194,34 15.15571 1.2,,
195,34 15.15571 2.1,,
196,34 15.15571 2.2,,
197,35 15.16251 2.1,,
198,35 15.16251 2.2,,
199,35 15.16251 1.2,,
200,35 15.16251 1.1,,
201,37 17.2311 1 TM,,
202,37 17.2311 1 normal,,
203,38 17.2365 normal,,
204,38 17.2365 TM,,
205,43 14.12458 Ib1b,,
206,43 14.12458 Ib3,,
207,45 14.13033 b6,,
208,45 14.13033 b4,,
209,50 15.2676 TM1,,
210,50 15.2676 TM2,,
211,50 15.2676 normal,,
212,51 15.3445 TM,,
213,51 15.3445 normal,,
214,58 15.13810 T1.2,,
215,58 15.13810 T1.1,,
216,58 15.13810 N2.2,,
217,58 15.13810 N2.1,,
218,60 15.8584 ba,,
219,60 15.8584 8C,,
220,61 15.8862 7B,,
221,61 15.8862 normal,,
222,65 15.11578 e1,,
223,65 15.11578 d1,,
224,73 16.474 7C,,
225,73 16.474 5d,,
226,75 16.2709 f11,,
227,75 16.2709 TM,,
228,75 16.2709 normal,,
229,78 16.7399 3d,,
230,78 16.7399 1a,,
231,7 15.3729 1.1,,
232,7 15.3729 1.2,,
233,7 H 15.3729 2.1 T1,,
234,7 H 15.3729 2.2 T2,,
235,7 15.3729 2.2,,
236,7 15.3729 2.1,,
237,84 H 16.5194 1.1,,
238,84 H 16.5194 2.1 PA,,
239,89 H 15.5476 1.1,,
240,89 H 15.5476 2.1,,
241,91 H 15.5457 1.2,,
242,91 H 15.5457 1.1,,
243,97 16.13893 1.1,,
244,97 16.13893 2.1,,
245,98 15.25148 1.1,,
246,98 15.25148 2.2,,
247,98 15.25148 2.1,,
248,C 18.13124 2H he_215147,,
249,C 18.13124 2E he_214841,,
250,C 18.13124 2C he_215544,,
251,C 16.15924 2A he_095048,,
252,C 17.17358 2G he_112637,,
253,C 17.17360 2E he_045047,,
254,C 17.17360 3C he_050600,,
255,C 17.17360 2A he_045849,,
256,C 17.17360 3B he_050214,,
257,C 17.17360 2F he_045426,,
258,C 18.17537 2H he_213456,,
259,C 18.17537 3C he_213835,,
260,C 18.17537 3A he_214105,,
261,C 18.17537 2A he_213141,,
262,C 18.17537 2I he_214527,,
263,C 16.19508 2B he_094020,,
264,C 16.19508 2A he_094432,,
265,C 17.20195 2A he_041300,,
266,C 17.20195 2B he_041650,,
267,C 17.20195 2C he_040509,,
268,C 17.20195 2E he_040917,,
269,C 17.22002 2C he_035726,,
270,C 17.22002 2B he_040117,,
271,C 13.22089 4A he_105839,,
272,C 17.2628 4A he_065112,,
273,C 16.26859 2D he_090846,,
274,C 17.32587 2I he_032106,,
275,C 17.32587 2J he_031653,,
276,C 17.32587 2F he_031348,,
277,C 17.32587 2C he_024858,,
278,C 17.32587 2A he_025601,,
279,C 17.32587 2K he_025245,,
280,C 17.32587 2B he_030634,,
281,C 17.32587 3C he_025926,,
282,C 17.32587 2H he_031002,,
283,C 17.32587 2C pas_030254,,
284,C 16.33050 2G he_090110,,
285,C 17.35942 2A he_021245,,
286,C 17.35942 2F he_020604,,
287,C 17.35942 2B he_020907,,
288,C 17.37698 3A he_013720,,
289,C 17.37698 2G he_012119,,
290,C 17.37698 3E he_012914,,
291,C 17.37698 2D he_011739,,
292,C 17.37698 2F he_012520,,
293,C 17.37698 3B he_013246,,
294,C 17.37698 2E he_014044,,
295,C 16.38030 2E he_082649,,
296,C 16.38030 1J he_082348,,
297,C 16.38030 1H he_083040,,
298,C 16.38030 1I he_082007,,
299,C 16.38030 2D he_083418,,
300,C 18.3904 2A he_224556,,
301,C 18.3904 2B he_224256,,
302,C 16.44640 2C he_075817,,
303,C 16.44640 2B he_080154,,
304,C 17.45812 2D he_001907,,
305,C 17.45812 2A he_001534,,
306,C 17.50389 2D,,
307,C 17.50389 2C,,
308,C 17.50389 2B,,
309,C 17.50389 2E,,
310,C 17.51196 2D he_234255,,
