,train,val,test
0,101 15.26180 1.1,206 T1,113 9698 7W
1,101 15.26180 2.1,206 N1,113 9698 7R
2,101 15.26180 2.2,37 17.2311 1 TM,147 T2
3,103 16.42314 1.1,37 17.2311 1 normal,147 N2
4,103 16.42314 2.1,89 H 15.5476 1.1,147 T1
5,104 15.35338 1.1,89 H 15.5476 2.1,147 N1
6,104 15.35338 2.2,C 18.13124 2H he_215147,187 T1
7,104 15.35338 2.1,C 18.13124 2E he_214841,187 N1
8,107 16.31191 1.1,C 18.13124 2C he_215544,7 15.3729 1.1
9,107 16.31191 2.1,261 N1,7 15.3729 1.2
10,108 15.41146 1.1,261 T1,7 H 15.3729 2.1 T1
11,108 15.41146 2.2,132 14.9816 F,7 H 15.3729 2.2 T2
12,108 15.41146 2.1,132 14.9816 M,7 15.3729 2.2
13,111 17.29020 4F2,180 N1,7 15.3729 2.1
14,111 17.29020 4d2,180 T1,225 T1
15,116 H 17.9754 1.1,180 N2,225 N1
16,116 H 17.9754 2.2,180 T2,50 15.2676 TM1
17,116 H 17.9754 1.2,75 16.2709 f11,50 15.2676 TM2
18,116 H 17.9754 2.1,75 16.2709 TM,50 15.2676 normal
19,118 17.27933 5a1,75 16.2709 normal,102 15.33190 2.2
20,118 17.27933 5J3,83 15.8623 2.1,102 15.33190 1.1
21,122 H 17.15235 N,83 15.8623 1.3,102 15.33190 2.1
22,122 H 17.15235 T,83 15.8623 1.4,160 T3
23,127 14.9683 F,83 15.8623 1.5,160 N1
24,127 14.9683 A,83 15.8623 1.1,160 T2
25,131 14.13102 G,83 15.8623 1.2,160 T1
26,135 16.3496 J,83 15.8623 2.2,257 T1
27,135 16.3496 A,328 N1,257 N1
28,138 T1,328 T1,C 16.19508 2B he_094020
29,138 N1,134 15.5812 K,C 16.19508 2A he_094432
30,144 T1,134 15.5812 NS4,C 18.3904 2A he_224556
31,144 N1,288 T1,C 18.3904 2B he_224256
32,146 T3,288 N1,238 T1
33,146 T1,165 T1,238 N1
34,146 N1,165 N1,273 T1
35,146 T2,213 T1,273 N1
36,146 N2,213 N1,C 18.23144 2C he_210452
37,148 N1,8 H 16.5165 2.2,C 18.23144 2B he_210104
38,148 T1,8 H 16.5165 1.1,158 T1
39,152 T3,8 H 16.5165 2.4,158 N1
40,152 T2,8 H 16.5165 1.2,C 16.26859 2D he_090846
41,152 N1,C 17.8037 5A he_061238,115 28928 8T
42,152 T1,C 17.8037 1B he_061008,115 28928 8V
43,152 N2,26 16.7705 TK,311 T1
44,159 N1,26 16.7705 Tg,315 T1
45,159 T5,9 16.6833 2.1,315 N1
46,159 T1,9 16.6833 1.1,204 N1
47,159 T4,C 16.33596 4G he_085029,204 T1
48,159 N2,176 T1,272 T1
49,159 T3,176 N1,272 N1
50,159 T2,18 15.8273 1.2,119 17.16488 3
51,161 N1,18 15.8273 2.1,119 17.16488 2
52,161 T5,18 15.8273 2.2,119 17.16488 1
53,161 T2,18 15.8273 1.1,175 T2
54,161 N5,262 N1,175 T1
55,161 N2,92 H 15.3793 1.1,175 N1
56,161 T3,92 H 15.3793 2.1,175 N2
57,161 T4,267 N1,175 T3
58,161 N3,254 T1,125 H 17.2982 2.2
59,161 T1,254 N1,125 H 17.2982 1.1
60,161 N6,81 1151 f,125 H 17.2982 2.1
61,161 N7,81 1151 e,125 H 17.2982 1.2
62,161 N4,81 1151 b,298 N1
63,167 T5,,C 17.14901 2B he_052114
64,167 T2,,C 17.14901 2A he_052517
65,167 T3,,
66,167 N1,,
67,167 T1,,
68,167 N3,,
69,167 T4,,
70,167 N2,,
71,171 T1,,
72,171 N1,,
73,171 N2,,
74,171 T2,,
75,172 N1,,
76,172 T1,,
77,173 T1,,
78,173 N1,,
79,173 T2,,
80,178 N1,,
81,178 T1,,
82,179 T1,,
83,179 N1,,
84,181 T1,,
85,181 N1,,
86,182 N1,,
87,182 T1,,
88,184 N1,,
89,184 T2,,
90,184 T1,,
91,185 N1,,
92,185 T1,,
93,191 T1,,
94,191 N1,,
95,198 T1,,
96,198 N1,,
97,199 N1,,
98,199 T1,,
99,200 T1,,
100,200 N1,,
101,203 T1,,
102,203 N1,,
103,212 N1,,
104,212 T1,,
105,218 N1,,
106,218 T1,,
107,218 N2,,
108,218 T2,,
109,21 H 15.10971 1.2,,
110,21 H 15.10971 1.1,,
111,21 15.10971 2.1,,
112,21 15.10971 2.2,,
113,223 T1,,
114,224 T1,,
115,224 N1,,
116,228 T1,,
117,228 N1,,
118,22 15.11592 2.2,,
119,22 15.11592 2.1,,
120,22 15.11592 1.1,,
121,22 15.11592 1.2,,
122,230 T2,,
123,230 T1,,
124,232 T1,,
125,232 N1,,
126,236 T1,,
127,239 T1,,
128,241 T1,,
129,244 T1,,
130,244 N1,,
131,247 T1,,
132,247 N1,,
133,248 T2,,
134,248 N1,,
135,24 15.6839 1.1,,
136,24 15.6839 2.1,,
137,251 T2,,
138,251 T1,,
139,253 T1,,
140,253 N1,,
141,256 N1,,
142,256 T1,,
143,265 T1,,
144,265 N1,,
145,266 T1,,
146,266 N1,,
147,270 T1,,
148,270 N1,,
149,274 N1,,
150,274 T1,,
151,280 N1,,
152,281 T1,,
153,281 N1,,
154,283 N1,,
155,283 T1,,
156,284 N1,,
157,287 N1,,
158,287 T1,,
159,290 N1,,
160,290 T1,,
161,293 N1,,
162,293 T1,,
163,2 15.4379 T1,,
164,2 15.4379 T4,,
165,2 15.4379 T2,,
166,2 15.4379 T3,,
