,train,val,test
0,101 15.26180 1.1,4 15.5542 1.1,283 N1
1,101 15.26180 2.1,4 15.5542 1.3,283 T1
2,101 15.26180 2.2,4 15.5542 1.2,270 T1
3,102 15.33190 2.2,4 15.5542 2.1,270 N1
4,102 15.33190 1.1,232 T1,83 15.8623 2.1
5,102 15.33190 2.1,232 N1,83 15.8623 1.3
6,104 15.35338 1.1,273 T1,83 15.8623 1.4
7,104 15.35338 2.2,273 N1,83 15.8623 1.5
8,104 15.35338 2.1,C 18.4526 2D he_223258,83 15.8623 1.1
9,107 16.31191 1.1,C 18.4526 2F he_223920,83 15.8623 1.2
10,107 16.31191 2.1,113 9698 7W,83 15.8623 2.2
11,108 15.41146 1.1,113 9698 7R,C 16.26859 2D he_090846
12,108 15.41146 2.2,21 H 15.10971 1.2,111 17.29020 4F2
13,108 15.41146 2.1,21 H 15.10971 1.1,111 17.29020 4d2
14,116 H 17.9754 1.1,21 15.10971 2.1,199 N1
15,116 H 17.9754 2.2,21 15.10971 2.2,199 T1
16,116 H 17.9754 1.2,213 T1,247 T1
17,116 H 17.9754 2.1,213 N1,247 N1
18,118 17.27933 5a1,293 N1,182 N1
19,118 17.27933 5J3,293 T1,182 T1
20,122 H 17.15235 N,191 T1,328 N1
21,122 H 17.15235 T,191 N1,328 T1
22,127 14.9683 F,223 T1,62 15.14428 4A
23,127 14.9683 A,C 18.3904 2A he_224556,62 15.14428 normal
24,131 14.13102 G,C 18.3904 2B he_224256,265 T1
25,134 15.5812 K,218 N1,265 N1
26,134 15.5812 NS4,218 T1,239 T1
27,135 16.3496 J,218 N2,256 N1
28,135 16.3496 A,218 T2,256 T1
29,138 T1,C 17.37698 3A he_013720,132 14.9816 F
30,138 N1,C 17.37698 2G he_012119,132 14.9816 M
31,144 T1,C 17.37698 3E he_012914,C 18.23144 2C he_210452
32,144 N1,C 17.37698 2D he_011739,C 18.23144 2B he_210104
33,146 T3,C 17.37698 2F he_012520,C 17.2882 5B he_064727
34,146 T1,C 17.37698 3B he_013246,C 17.2882 5D he_064324
35,146 N1,C 17.37698 2E he_014044,207 N1
36,146 T2,103 16.42314 1.1,207 T1
37,146 N2,103 16.42314 2.1,42 14.10866 K6
38,147 T2,307 T1,42 14.10866 m1
39,147 N2,160 T3,285 N1
40,147 T1,160 N1,272 T1
41,147 N1,160 T2,272 N1
42,148 N1,160 T1,109 15.28188 2.1
43,148 T1,33 16.928 1e 4d,109 15.28188 1.1
44,152 T3,33 16.928 1e 2a,109 15.28188 2.2
45,152 T2,304 T1,337 N1
46,152 N1,C 13.25902 5E he_105107,6 15.4595 2.1
47,152 T1,130 16.4990 L,6 15.4595 1.1
48,152 N2,130 16.4990 A,6 15.4595 2.2
49,158 T1,82 17.1547 1.1,6 15.4595 1.2
50,158 N1,82 17.1547 1.2,269 N1
51,159 N1,82 17.1547 1.4,269 T1
52,159 T5,82 17.1547 1.3,162 N1
53,159 T1,82 17.1547 2.2,162 N4
54,159 T4,82 17.1547 2.1,162 N3
55,159 N2,82 17.1547 2.4,162 T3
56,159 T3,82 17.1547 2.3,162 N2
57,159 T2,329 N1,162 T6
58,161 N1,329 T1,162 T2
59,161 T5,39 15.33 1e 9d,162 T5
60,161 T2,39 15.33 1e 7b,162 T1
61,161 N5,204 N1,162 T4
62,161 N2,204 T1,137 N1
63,161 T3,100 15.2600 1.1,137 T2
64,161 T4,100 15.2600 2.1,137 T1
65,161 N3,100 15.2600 2.2,
66,161 T1,C 16.17171 2A he_094746,
67,161 N6,,
68,161 N7,,
69,161 N4,,
70,165 T1,,
71,165 N1,,
72,167 T5,,
73,167 T2,,
74,167 T3,,
75,167 N1,,
76,167 T1,,
77,167 N3,,
78,167 T4,,
79,167 N2,,
80,171 T1,,
81,171 N1,,
82,171 N2,,
83,171 T2,,
84,172 N1,,
85,172 T1,,
86,173 T1,,
87,173 N1,,
88,173 T2,,
89,178 N1,,
90,178 T1,,
91,179 T1,,
92,179 N1,,
93,180 N1,,
94,180 T1,,
95,180 N2,,
96,180 T2,,
97,181 T1,,
98,181 N1,,
99,184 N1,,
100,184 T2,,
101,184 T1,,
102,185 N1,,
103,185 T1,,
104,187 T1,,
105,187 N1,,
106,198 T1,,
107,198 N1,,
108,200 T1,,
109,200 N1,,
110,203 T1,,
111,203 N1,,
112,206 T1,,
113,206 N1,,
114,212 N1,,
115,212 T1,,
116,224 T1,,
117,224 N1,,
118,225 T1,,
119,225 N1,,
120,228 T1,,
121,228 N1,,
122,22 15.11592 2.2,,
123,22 15.11592 2.1,,
124,22 15.11592 1.1,,
125,22 15.11592 1.2,,
126,230 T2,,
127,230 T1,,
128,236 T1,,
129,238 T1,,
130,238 N1,,
131,241 T1,,
132,244 T1,,
133,244 N1,,
134,248 T2,,
135,248 N1,,
136,24 15.6839 1.1,,
137,24 15.6839 2.1,,
138,251 T2,,
139,251 T1,,
140,253 T1,,
141,253 N1,,
142,257 T1,,
143,257 N1,,
144,261 N1,,
145,261 T1,,
146,266 T1,,
147,266 N1,,
148,274 N1,,
149,274 T1,,
150,280 N1,,
151,281 T1,,
152,281 N1,,
153,284 N1,,
154,287 N1,,
155,287 T1,,
156,288 T1,,
157,288 N1,,
158,290 N1,,
159,290 T1,,
160,2 15.4379 T1,,
161,2 15.4379 T4,,
162,2 15.4379 T2,,
163,2 15.4379 T3,,
164,30 H 16.444 1-15,,
165,30 H 16.444 2.1,,
166,30 H 16.444 2.2,,
167,313 N1,,
168,316 N1,,
169,317 N1,,
170,318 N1,,
171,318 T1,,
172,324 N1,,
173,324 T1,,
174,325 N1,,
175,334 T1,,
176,334 N1,,
177,335 T1,,
178,335 N1,,
179,34 15.15571 1.1,,
180,34 15.15571 1.2,,
181,34 15.15571 2.1,,
182,34 15.15571 2.2,,
183,35 15.16251 2.1,,
184,35 15.16251 2.2,,
185,35 15.16251 1.2,,
186,35 15.16251 1.1,,
187,37 17.2311 1 TM,,
188,37 17.2311 1 normal,,
189,38 17.2365 normal,,
190,38 17.2365 TM,,
191,43 14.12458 Ib1b,,
192,43 14.12458 Ib3,,
193,45 14.13033 b6,,
194,45 14.13033 b4,,
195,48 14.15849 8C,,
196,48 14.15849 norm,,
197,49 15.2000 c1,,
198,49 15.2000 b2,,
199,50 15.2676 TM1,,
200,50 15.2676 TM2,,
201,50 15.2676 normal,,
202,51 15.3445 TM,,
203,51 15.3445 normal,,
204,54 15.5286 c49,,
205,54 15.5286 C66,,
206,54 15.5286 C76,,
207,58 15.13810 T1.2,,
208,58 15.13810 T1.1,,
209,58 15.13810 N2.2,,
210,58 15.13810 N2.1,,
211,59 15.8220 a,,
212,59 15.8220 1 5a,,
213,60 15.8584 ba,,
214,60 15.8584 8C,,
215,61 15.8862 7B,,
216,61 15.8862 normal,,
217,64 15.12238 normal,,
218,64 15.12238 Tumor,,
219,65 15.11578 e1,,
220,65 15.11578 d1,,
221,73 16.474 7C,,
222,73 16.474 5d,,
223,75 16.2709 f11,,
224,75 16.2709 TM,,
225,75 16.2709 normal,,
226,78 16.7399 3d,,
227,78 16.7399 1a,,
228,7 15.3729 1.1,,
229,7 15.3729 1.2,,
230,7 H 15.3729 2.1 T1,,
231,7 H 15.3729 2.2 T2,,
232,7 15.3729 2.2,,
233,7 15.3729 2.1,,
234,84 H 16.5194 1.1,,
235,84 H 16.5194 2.1 PA,,
236,89 H 15.5476 1.1,,
237,89 H 15.5476 2.1,,
238,8 H 16.5165 2.2,,
239,8 H 16.5165 1.1,,
240,8 H 16.5165 2.4,,
241,8 H 16.5165 1.2,,
242,91 H 15.5457 1.2,,
243,91 H 15.5457 1.1,,
244,97 16.13893 1.1,,
245,97 16.13893 2.1,,
246,98 15.25148 1.1,,
247,98 15.25148 2.2,,
248,98 15.25148 2.1,,
249,C 16.10821 2E he_100729,,
250,C 16.10821 2B he_101102,,
251,C 18.13124 2H he_215147,,
252,C 18.13124 2E he_214841,,
253,C 18.13124 2C he_215544,,
254,C 16.15924 2A he_095048,,
255,C 14.16487 4A pas_103855,,
256,C 17.17358 2G he_112637,,
257,C 17.17360 2E he_045047,,
258,C 17.17360 3C he_050600,,
259,C 17.17360 2A he_045849,,
260,C 17.17360 3B he_050214,,
261,C 17.17360 2F he_045426,,
262,C 18.17537 2H he_213456,,
263,C 18.17537 3C he_213835,,
264,C 18.17537 3A he_214105,,
265,C 18.17537 2A he_213141,,
266,C 18.17537 2I he_214527,,
267,C 16.19508 2B he_094020,,
268,C 16.19508 2A he_094432,,
269,C 17.20195 2A he_041300,,
270,C 17.20195 2B he_041650,,
271,C 17.20195 2C he_040509,,
272,C 17.20195 2E he_040917,,
273,C 17.22002 2C he_035726,,
274,C 17.22002 2B he_040117,,
275,C 13.22089 4A he_105839,,
276,C 17.2628 4A he_065112,,
277,C 17.32211 3F he_034105,,
278,C 17.32211 2B he_032431,,
279,C 17.32211 2I he_032953,,
280,C 17.32211 2M he_033431,,
281,C 17.32211 2E he_033805,,
282,C 17.32211 2H he_034352,,
283,C 17.32587 2I he_032106,,
284,C 17.32587 2J he_031653,,
285,C 17.32587 2F he_031348,,
286,C 17.32587 2C he_024858,,
287,C 17.32587 2A he_025601,,
288,C 17.32587 2K he_025245,,
289,C 17.32587 2B he_030634,,
290,C 17.32587 3C he_025926,,
291,C 17.32587 2H he_031002,,
292,C 17.32587 2C pas_030254,,
293,C 16.33050 2G he_090110,,
294,C 17.35942 2A he_021245,,
295,C 17.35942 2F he_020604,,
296,C 17.35942 2B he_020907,,
297,C 16.38030 2E he_082649,,
298,C 16.38030 1J he_082348,,
299,C 16.38030 1H he_083040,,
300,C 16.38030 1I he_082007,,
301,C 16.38030 2D he_083418,,
302,C 16.44640 2C he_075817,,
303,C 16.44640 2B he_080154,,
304,C 16.45680 2C he_070257,,
305,C 17.45812 2D he_001907,,
306,C 17.45812 2A he_001534,,
307,C 17.50389 2D,,
308,C 17.50389 2C,,
309,C 17.50389 2B,,
310,C 17.50389 2E,,
311,C 17.51196 2D he_234255,,
312,C 17.51196 2A he_233117,,
313,C 17.51196 2G he_233951,,
314,C 17.51196 2B he_233455,,
315,C 17.51196 2C he_232757,,
316,C 17.51196 3D he_233659,,
317,C 17.6716 2E he_063624,,
318,C 17.6716 2J he_063312,,
319,C 17.6716 2F he_062945,,
320,C 17.6716 2G he_063928,,
321,C 17.6716 2H he_062545,,
322,C 16.7946 2F he_101451,,
323,C 16.7946 2B he_101806,,
324,C 17.8037 5A he_061238,,
325,C 17.8037 1B he_061008,,
