,train,val,test
0,101 15.26180 1.1,91 H 15.5457 1.2,324 N1
1,101 15.26180 2.1,91 H 15.5457 1.1,324 T1
2,101 15.26180 2.2,159 N1,60 15.8584 ba
3,102 15.33190 2.2,159 T5,60 15.8584 8C
4,102 15.33190 1.1,159 T1,280 N1
5,102 15.33190 2.1,159 T4,54 15.5286 c49
6,103 16.42314 1.1,159 N2,54 15.5286 C66
7,103 16.42314 2.1,159 T3,54 15.5286 C76
8,104 15.35338 1.1,159 T2,325 N1
9,104 15.35338 2.2,199 N1,65 15.11578 e1
10,104 15.35338 2.1,199 T1,65 15.11578 d1
11,107 16.31191 1.1,274 N1,236 T1
12,107 16.31191 2.1,274 T1,38 17.2365 normal
13,108 15.41146 1.1,22 15.11592 2.2,38 17.2365 TM
14,108 15.41146 2.2,22 15.11592 2.1,49 15.2000 c1
15,108 15.41146 2.1,22 15.11592 1.1,49 15.2000 b2
16,111 17.29020 4F2,22 15.11592 1.2,152 T3
17,111 17.29020 4d2,253 T1,152 T2
18,113 9698 7W,253 N1,152 N1
19,113 9698 7R,61 15.8862 7B,152 T1
20,122 H 17.15235 N,61 15.8862 normal,152 N2
21,122 H 17.15235 T,318 N1,335 T1
22,127 14.9683 F,318 T1,335 N1
23,127 14.9683 A,148 N1,7 15.3729 1.1
24,131 14.13102 G,148 T1,7 15.3729 1.2
25,134 15.5812 K,247 T1,7 H 15.3729 2.1 T1
26,134 15.5812 NS4,247 N1,7 H 15.3729 2.2 T2
27,135 16.3496 J,161 N1,7 15.3729 2.2
28,135 16.3496 A,161 T5,7 15.3729 2.1
29,138 T1,161 T2,C 16.7946 2F he_101451
30,138 N1,161 N5,C 16.7946 2B he_101806
31,144 T1,161 N2,232 T1
32,144 N1,161 T3,232 N1
33,146 T3,161 T4,281 T1
34,146 T1,161 N3,281 N1
35,146 N1,161 T1,118 17.27933 5a1
36,146 T2,161 N6,118 17.27933 5J3
37,146 N2,161 N7,9 16.6833 2.1
38,147 T2,161 N4,9 16.6833 1.1
39,147 N2,182 N1,209 T2
40,147 T1,182 T1,209 N1
41,147 N1,116 H 17.9754 1.1,209 T1
42,158 T1,116 H 17.9754 2.2,209 N2
43,158 N1,116 H 17.9754 1.2,296 T1
44,160 T3,116 H 17.9754 2.1,296 N1
45,160 N1,C 17.17360 2E he_045047,242 T1
46,160 T2,C 17.17360 3C he_050600,242 N1
47,160 T1,C 17.17360 2A he_045849,92 H 15.3793 1.1
48,165 T1,C 17.17360 3B he_050214,92 H 15.3793 2.1
49,165 N1,C 17.17360 2F he_045426,42 14.10866 K6
50,167 T5,59 15.8220 a,42 14.10866 m1
51,167 T2,59 15.8220 1 5a,176 T1
52,167 T3,132 14.9816 F,176 N1
53,167 N1,132 14.9816 M,285 N1
54,167 T1,95 H 15.3141 1.1,234 N1
55,167 N3,207 N1,234 T1
56,167 T4,207 T1,298 N1
57,167 N2,125 H 17.2982 2.2,
58,171 T1,125 H 17.2982 1.1,
59,171 N1,125 H 17.2982 2.1,
60,171 N2,125 H 17.2982 1.2,
61,171 T2,215 T1,
62,172 N1,215 N1,
63,172 T1,41 15.1241 TM,
64,173 T1,41 15.1241 norm,
65,173 N1,82 17.1547 1.1,
66,173 T2,82 17.1547 1.2,
67,178 N1,82 17.1547 1.4,
68,178 T1,82 17.1547 1.3,
69,179 T1,82 17.1547 2.2,
70,179 N1,82 17.1547 2.1,
71,180 N1,82 17.1547 2.4,
72,180 T1,82 17.1547 2.3,
73,180 N2,329 N1,
74,180 T2,329 T1,
75,181 T1,C 18.44036 2C he_205651,
76,181 N1,C 18.44036 2E he_205313,
77,184 N1,C 18.44036 2B he_204936,
78,184 T2,115 28928 8T,
79,184 T1,115 28928 8V,
80,185 N1,162 N1,
81,185 T1,162 N4,
82,187 T1,162 N3,
83,187 N1,162 T3,
84,191 T1,162 N2,
85,191 N1,162 T6,
86,198 T1,162 T2,
87,198 N1,162 T5,
88,200 T1,162 T1,
89,200 N1,162 T4,
90,203 T1,,
91,203 N1,,
92,206 T1,,
93,206 N1,,
94,212 N1,,
95,212 T1,,
96,213 T1,,
97,213 N1,,
98,218 N1,,
99,218 T1,,
100,218 N2,,
101,218 T2,,
102,21 H 15.10971 1.2,,
103,21 H 15.10971 1.1,,
104,21 15.10971 2.1,,
105,21 15.10971 2.2,,
106,223 T1,,
107,224 T1,,
108,224 N1,,
109,225 T1,,
110,225 N1,,
111,228 T1,,
112,228 N1,,
113,230 T2,,
114,230 T1,,
115,238 T1,,
116,238 N1,,
117,239 T1,,
118,241 T1,,
119,244 T1,,
120,244 N1,,
121,248 T2,,
122,248 N1,,
123,24 15.6839 1.1,,
124,24 15.6839 2.1,,
125,251 T2,,
126,251 T1,,
127,256 N1,,
128,256 T1,,
129,257 T1,,
130,257 N1,,
131,261 N1,,
132,261 T1,,
133,265 T1,,
134,265 N1,,
135,266 T1,,
136,266 N1,,
137,270 T1,,
138,270 N1,,
139,273 T1,,
140,273 N1,,
141,283 N1,,
142,283 T1,,
143,284 N1,,
144,287 N1,,
145,287 T1,,
146,288 T1,,
147,288 N1,,
148,290 N1,,
149,290 T1,,
150,293 N1,,
151,293 T1,,
152,2 15.4379 T1,,
153,2 15.4379 T4,,
154,2 15.4379 T2,,
155,2 15.4379 T3,,
156,307 T1,,
157,30 H 16.444 1-15,,
158,30 H 16.444 2.1,,
159,30 H 16.444 2.2,,
160,313 N1,,
161,316 N1,,
162,317 N1,,
163,328 N1,,
164,328 T1,,
165,334 T1,,
166,334 N1,,
167,34 15.15571 1.1,,
168,34 15.15571 1.2,,
169,34 15.15571 2.1,,
170,34 15.15571 2.2,,
171,35 15.16251 2.1,,
172,35 15.16251 2.2,,
173,35 15.16251 1.2,,
174,35 15.16251 1.1,,
175,37 17.2311 1 TM,,
176,37 17.2311 1 normal,,
177,43 14.12458 Ib1b,,
178,43 14.12458 Ib3,,
179,45 14.13033 b6,,
180,45 14.13033 b4,,
181,48 14.15849 8C,,
182,48 14.15849 norm,,
183,4 15.5542 1.1,,
184,4 15.5542 1.3,,
185,4 15.5542 1.2,,
186,4 15.5542 2.1,,
187,50 15.2676 TM1,,
188,50 15.2676 TM2,,
189,50 15.2676 normal,,
190,51 15.3445 TM,,
191,51 15.3445 normal,,
192,58 15.13810 T1.2,,
193,58 15.13810 T1.1,,
194,58 15.13810 N2.2,,
195,58 15.13810 N2.1,,
196,62 15.14428 4A,,
197,62 15.14428 normal,,
198,64 15.12238 normal,,
199,64 15.12238 Tumor,,
200,73 16.474 7C,,
201,73 16.474 5d,,
202,75 16.2709 f11,,
203,75 16.2709 TM,,
204,75 16.2709 normal,,
205,78 16.7399 3d,,
206,78 16.7399 1a,,
207,83 15.8623 2.1,,
208,83 15.8623 1.3,,
209,83 15.8623 1.4,,
210,83 15.8623 1.5,,
